Año;Mes;Fecha;Dengue;ENOS C;ENOS;Añomes;No. Mes;Temperatura Máxima;Temperatura mínima;Temperatura promedio;Casos leptospirosis;Lluvia Acumulada;Temporada *;Casos ESI-IRAG;FRM;Familias Afectadas;Inundaciones;Encharcamiento;Damnificados inundaciones;Damnificados encharcamientos;Clasificación ONI
2017;Feb;miércoles, 1 de febrero de 2017;25;Neutro;-0.1;2017Feb;98;26;3.5;14.41;0;708.4;Lluvioso;61;1;1;0;1;0;0;NEUTRO
2017;Mar;miércoles, 1 de marzo de 2017;25;Neutro;0.1;2017Mar;99;24.8;4.9;14.34;2;1392.9;Lluvioso;130;42;57;4;6;0;0;NEUTRO
2017;Abr;sábado, 1 de abril de 2017;41;Neutro;0.3;2017Abr;100;25.5;4.1;14.88;2;614.5;Lluvioso;133;16;16;0;2;0;0;NEUTRO
2017;May;lunes, 1 de mayo de 2017;32;Neutro;0.4;2017May;101;25.2;6.8;14.78;6;1394;Lluvioso;105;54;78;6;16;0;0;NEUTRO
2017;Jun;jueves, 1 de junio de 2017;37;Neutro;0.4;2017Jun;102;24;6.8;14.6;1;797.1;Lluvioso;101;13;13;2;0;4;0;NEUTRO
2017;Jul;sábado, 1 de julio de 2017;49;Neutro;0.2;2017Jul;103;23.9;6.2;14.09;2;155.2;Menos lluvioso;60;6;9;0;0;0;0;NEUTRO
2017;Ago;martes, 1 de agosto de 2017;33;Neutro;-0.1;2017Ago;104;24.6;5.4;14.44;2;591.1;Menos lluvioso;42;5;0;0;0;0;0;NEUTRO
2017;Sep;viernes, 1 de septiembre de 2017;41;Neutro;-0.4;2017Sep;105;24.2;5.9;14.82;10;290.9;Menos lluvioso;58;3;2;0;0;0;0;NEUTRO
2017;Oct;domingo, 1 de octubre de 2017;38;Niña;-0.7;2017Oct;106;27;5.4;14.41;4;669.1;Lluvioso;48;7;5;0;2;0;0;NIÑA DÉBIL
2017;Nov;miércoles, 1 de noviembre de 2017;24;Niña;-0.9;2017Nov;107;25.2;4.9;14.29;6;1200.4;Lluvioso;62;23;42;1;28;0;4;NIÑA DÉBIL
